key,category,exerciseName,language_en,name_en,language_fr,name_fr
BATTLE_ROPE_UPPER_CUTS,BATTLE_ROPE,UPPER_CUTS,en,Battle Rope Upper Cuts,fr,Corde de combat - Uppercuts
BENCH_PRESS_ALTERNATING_DUMBBELL_CHEST_PRESS,BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS,en,Alternating Dumbbell Chest Press,fr,Développé alterné du torse avec haltères
BENCH_PRESS_ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL,BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL,en,Alternating Dumbbell Chest Press on Swiss Ball,fr,Développés couché alternés avec haltères sur ballon d'exercice
BENCH_PRESS_BARBELL_BENCH_PRESS,BENCH_PRESS,BARBELL_BENCH_PRESS,en,Barbell Bench Press,fr,Développé couché avec barre
BENCH_PRESS_BARBELL_BOARD_BENCH_PRESS,BENCH_PRESS,BARBELL_BOARD_BENCH_PRESS,en,Barbell Board Bench Press,fr,Développé couché avec planche
BENCH_PRESS_BARBELL_FLOOR_PRESS,BENCH_PRESS,BARBELL_FLOOR_PRESS,en,Barbell Floor Press,fr,Développé couché au sol avec barre d'altères
BENCH_PRESS_BENCH_PRESS,BENCH_PRESS,BENCH_PRESS,en,Bench Press,fr,Développé couché
BENCH_PRESS_CLOSE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,CLOSE_GRIP_BARBELL_BENCH_PRESS,en,Close-grip Barbell Bench Press,fr,Développé couché prise serrée
BENCH_PRESS_DECLINE_DUMBBELL_BENCH_PRESS,BENCH_PRESS,DECLINE_DUMBBELL_BENCH_PRESS,en,Decline Dumbbell Bench Press,fr,Développé couché décliné
BENCH_PRESS_DUMBBELL_BENCH_PRESS,BENCH_PRESS,DUMBBELL_BENCH_PRESS,en,Dumbbell Bench Press,fr,Développé couché avec haltères
BENCH_PRESS_DUMBBELL_FLOOR_PRESS,BENCH_PRESS,DUMBBELL_FLOOR_PRESS,en,Dumbbell Floor Press,fr,Développé couché au sol
BENCH_PRESS_INCLINE_BARBELL_BENCH_PRESS,BENCH_PRESS,INCLINE_BARBELL_BENCH_PRESS,en,Incline Barbell Bench Press,fr,Développé couché incliné
BENCH_PRESS_INCLINE_DUMBBELL_BENCH_PRESS,BENCH_PRESS,INCLINE_DUMBBELL_BENCH_PRESS,en,Incline Dumbbell Bench Press,fr,Développé couché incliné avec haltères
BENCH_PRESS_INCLINE_SMITH_MACHINE_BENCH_PRESS,BENCH_PRESS,INCLINE_SMITH_MACHINE_BENCH_PRESS,en,Incline Smith Machine Bench Press,fr,Développé couché incliné de la machine Smith
BENCH_PRESS_ISOMETRIC_BARBELL_BENCH_PRESS,BENCH_PRESS,ISOMETRIC_BARBELL_BENCH_PRESS,en,Isometric Barbell Bench Press,fr,Développé couché avec banc isométrique
BENCH_PRESS_KETTLEBELL_CHEST_PRESS,BENCH_PRESS,KETTLEBELL_CHEST_PRESS,en,Kettlebell Chest Press,fr,Développé pectoraux kettlebell
BENCH_PRESS_NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,BENCH_PRESS,NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,en,Neutral-grip Dumbbell Bench Press,fr,Développé couché avec haltères en prise neutre
BENCH_PRESS_NEUTRAL_GRIP_DUMBBELL_INCLINE_BENCH_PRESS,BENCH_PRESS,NEUTRAL_GRIP_DUMBBELL_INCLINE_BENCH_PRESS,en,Neutral-grip Dumbbell Incline Bench Press,fr,"Développé couché incliné avec haltères, prise neutre"
