key,category,exerciseName,name_en,name_fr
CALF_RAISE__3_WAY_WEIGHTED_SINGLE_LEG_CALF_RAISE,CALF_RAISE,_3_WAY_WEIGHTED_SINGLE_LEG_CALF_RAISE,3-way Weighted Single-leg Calf Raise,Extension des mollets sur une jambe sur 3 angles avec poids
CARDIO_BOB_AND_WEAVE_CIRCLE,CARDIO,BOB_AND_WEAVE_CIRCLE,Bob and Weave Circle,Flexions latérales et circulaires
CARDIO_BUTTERFLY_ARMS_WHEELCHAIR,CARDIO,BUTTERFLY_ARMS_WHEELCHAIR,Butterfly Arms,Papillon
CARDIO_CARDIO,CARDIO,CARDIO,Cardio,Cardio
CARDIO_CARDIO_CORE_CRAWL,CARDIO,CARDIO_CORE_CRAWL,Cardio Core Crawl,Exercice de cardio et de gainage rampant
CARDIO_DOUBLE_PUNCH_DOWN_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_DOWN_WHEELCHAIR,Double Punch Down,Extension deux mains vers le bas
CARDIO_DOUBLE_PUNCH_FORWARD_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_FORWARD_WHEELCHAIR,Double Punch Forward,Extension deux mains vers l'avant
CARDIO_DOUBLE_PUNCH_SIDEWAYS_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_SIDEWAYS_WHEELCHAIR,Double Punch Sideways,Extension deux mains sur le côté
CARDIO_DOUBLE_PUNCH_UP_WHEELCHAIR,CARDIO,DOUBLE_PUNCH_UP_WHEELCHAIR,Double Punch Up,Extension deux mains vers le haut
CARDIO_DOUBLE_UNDER,CARDIO,DOUBLE_UNDER,Double Under,Double Under
CARDIO_JUMPING_JACKS,CARDIO,JUMPING_JACKS,Jumping Jacks,Écartés-sautés
CARDIO_JUMP_ROPE,CARDIO,JUMP_ROPE,Jump Rope,Corde à sauter
CARDIO_JUMP_ROPE_CROSSOVER,CARDIO,JUMP_ROPE_CROSSOVER,Jump Rope Crossover,Sauts croisés à la corde
CARDIO_JUMP_ROPE_JOG,CARDIO,JUMP_ROPE_JOG,Jump Rope Jog,Course à la corde à sauter
CARDIO_POLE_DD_FF_UU_WHEELCHAIR,CARDIO,POLE_DD_FF_UU_WHEELCHAIR,Downward Forward Upper,"Barre en bas, en avant, en haut"
CARDIO_POLE_HANDCYCLE_BACKWARD_WHEELCHAIR,CARDIO,POLE_HANDCYCLE_BACKWARD_WHEELCHAIR,Handcycle Backward,Tour de roue à la main vers l'arrière
CARDIO_POLE_HANDCYCLE_FORWARD_WHEELCHAIR,CARDIO,POLE_HANDCYCLE_FORWARD_WHEELCHAIR,Handcycle Forward,Tour de roue à la main vers l'avant
CARDIO_POLE_PADDLE_BACKWARD_WHEELCHAIR,CARDIO,POLE_PADDLE_BACKWARD_WHEELCHAIR,Paddle Backward,Pagayer vers l'arrière
CARDIO_POLE_PADDLE_FORWARD_WHEELCHAIR,CARDIO,POLE_PADDLE_FORWARD_WHEELCHAIR,Paddle Forward,Pagayer vers l'avant
CARDIO_POLE_RAINBOW_WHEELCHAIR,CARDIO,POLE_RAINBOW_WHEELCHAIR,Rainbow,Arc-en-ciel
CARDIO_PUNCH_BAG_WHEELCHAIR,CARDIO,PUNCH_BAG_WHEELCHAIR,Speed Bag,Sac de frappe
CARDIO_PUNCH_DOWN_WHEELCHAIR,CARDIO,PUNCH_DOWN_WHEELCHAIR,Punch Down,Coup de poing vers le bas
CARDIO_PUNCH_FORWARD_WHEELCHAIR,CARDIO,PUNCH_FORWARD_WHEELCHAIR,Punch Forward,Coup de poing vers l'avant
CARDIO_PUNCH_SIDEWAYS_WHEELCHAIR,CARDIO,PUNCH_SIDEWAYS_WHEELCHAIR,Punch Sideways,Coup de poing latéral
CARDIO_PUNCH_UP_WHEELCHAIR,CARDIO,PUNCH_UP_WHEELCHAIR,Punch Up,Coup de poing vers le haut
CARDIO_ROWING_MACHINE,CARDIO,ROWING_MACHINE,Rowing Machine,Rameur
